,postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded,postcodeDistrict,catsPerHousehold,dogsPerHousehold
225,M34,392490,397392,Unsurveyed/Urban,100,Tameside,1,248000.0,False,M34,0.206154432,0.236422237
226,WV12,396700,299800,Unsurveyed/Urban,140,Walsall,1,140100.0,False,WV12,0.289957481,0.332529335
227,TS24,452607,533845,Unsurveyed/Urban,10,Hartlepool,1,138300.0,False,TS24,0.152773087,0.175203388
228,LE8,465661,297473,Luvisols,100,Harborough,8,288200.0,False,LE8,0.348469912,0.399632621
229,B33,412354,286512,Unsurveyed/Urban,100,Birmingham,1,194100.0,False,B33,0.141946571,0.162787311
230,BD6,414502,430730,Unsurveyed/Urban,240,Bradford,1,93400.0,False,BD6,0.1005404,0.115301844
231,S40,435063,372271,Planosols,130,Chesterfield,1,176100.0,False,S40,0.254032783,0.291330137
232,HD7,409509,415833,Unsurveyed/Urban,210,Kirklees,1,210500.0,False,HD7,0.183854379,0.210848067
233,DE4,429232,354104,Stagnosols,170,Derbyshire Dales,1,331400.0,False,DE4,0.833920838,0.956357949
234,NR21,592189,329594,Luvisols,40,North Norfolk,1,218500.0,False,NR21,0.928226673,1.064509863
235,NR9,613723,319319,Gleysols,20,Broadland,1,419900.0,False,NR9,0.428525952,0.491442571
236,YO17,477761,471847,Leptosols,50,Ryedale,1,272700.0,False,YO17,0.52726071,0.604673667
237,SK7,389124,384631,Unsurveyed/Urban,80,Stockport,1,542900.0,False,SK7,0.260258305,0.298469696
238,B18,404439,287975,Unsurveyed/Urban,140,Birmingham,1,368400.0,False,B18,0.094166413,0.107992023
239,CV9,430774,298529,Unsurveyed/Urban,80,North Warwickshire,1,346300.0,False,CV9,0.604556294,0.693317868
240,BD8,412748,433447,Unsurveyed/Urban,160,Bradford,1,93800.0,False,BD8,0.154711534,0.177426439
241,BD12,415786,427005,Unsurveyed/Urban,160,Bradford,1,153300.0,False,BD12,0.164744432,0.188932379
242,LE18,460464,299713,Unsurveyed/Urban,90,Oadby and Wigston,1,238400.0,False,LE18,0.363556518,0.416934258
243,WS12,398177,310473,Unsurveyed/Urban,160,Cannock Chase,1,,False,WS12,0.181979009,0.208697353
244,IP5,620315,246422,Arenosols,40,East Suffolk,1,284700.0,False,IP5,0.513107518,0.588442489
245,NE6,428312,565003,Unsurveyed/Urban,40,Newcastle upon Tyne,1,131300.0,False,NE6,0.283011595,0.324563647
246,SR8,441208,539407,Cambisols,130,County Durham,1,154900.0,False,SR8,0.086648181,0.099369955
247,NR34,642260,290363,Unsurveyed/Urban,10,East Suffolk,1,241800.0,False,NR34,0.750044233,0.860166495
248,S40,436298,372090,Unsurveyed/Urban,100,Chesterfield,1,184700.0,False,S40,0.254032783,0.291330137
249,ST14,407144,330521,Cambisols,140,East Staffordshire,1,318200.0,False,ST14,0.894330535,1.025637059
250,BD21,406603,441917,Unsurveyed/Urban,90,Bradford,1,119600.0,False,BD21,0.458775162,0.526133
251,LE21,459327,304196,Unsurveyed/Urban,70,Leicester,1,,False,,,
252,NG31,489988,337545,Stagnosols,80,South Kesteven,1,200800.0,False,NG31,0.390916418,0.448311166
253,WV13,396941,298577,Unsurveyed/Urban,130,Walsall,1,184100.0,False,WV13,0.15225894,0.174613754
254,LE1,459294,304253,Unsurveyed/Urban,70,Leicester,1,687500.0,False,LE1,0.121580471,0.13943104
